node,latitude,longitude
m3-1,45.2172626,5.8067181
m3-2,45.2172805,5.8067053
m3-3,45.2172971,5.8066892
m3-4,45.2173051,5.8068207
m3-5,45.2173150,5.8066752
m3-6,45.2173245,5.8068059
m3-7,45.2173306,5.8068850
m3-8,45.2173325,5.8066611
m3-9,45.2173419,5.8067905
m3-10,45.2173505,5.8068676
m3-11,45.2173585,5.8067771
m3-12,45.2173693,5.8068535
m3-13,45.2173760,5.8070037
m3-14,45.2173774,5.8067630
m3-15,45.2173859,5.8068394
m3-16,45.2173939,5.8069883
m3-17,45.2174043,5.8068220
m3-18,45.2174099,5.8069742
m3-19,45.2174269,5.8069595
m3-20,45.2174624,5.8066792
m3-21,45.2174700,5.8069199
m3-22,45.2174841,5.8067342
m3-23,45.2174903,5.8069038
m3-24,45.2174926,5.8066517
m3-25,45.2175096,5.8068877
m3-26,45.2175167,5.8067073
m3-27,45.2175266,5.8064613
m3-28,45.2175319,5.8068683
m3-29,45.2175444,5.8064425
m3-30,45.2175623,5.8064264
