node,latitude,longitude
m3-1,45.2172626,5.8067181
m3-2,45.2172805,5.8067053
m3-3,45.2172971,5.8066892
m3-4,45.2173051,5.8068207
m3-5,45.2173150,5.8066752
m3-6,45.2173245,5.8068059
m3-7,45.2173306,5.8068850
m3-8,45.2173325,5.8066611
m3-9,45.2173419,5.8067905
m3-10,45.2173505,5.8068676
m3-11,45.2173585,5.8067771
m3-12,45.2173693,5.8068535
m3-13,45.2173760,5.8070037
m3-14,45.2173774,5.8067630
m3-15,45.2173859,5.8068394
m3-16,45.2173939,5.8069883
m3-17,45.2174043,5.8068220
m3-18,45.2174099,5.8069742
m3-19,45.2174269,5.8069595
m3-20,45.2174624,5.8066792
m3-21,45.2174700,5.8069199
m3-22,45.2174841,5.8067342
m3-23,45.2174903,5.8069038
m3-24,45.2174926,5.8066517
m3-25,45.2175096,5.8068877
m3-26,45.2175167,5.8067073
m3-27,45.2175266,5.8064613
m3-28,45.2175319,5.8068683
m3-29,45.2175444,5.8064425
m3-30,45.2175623,5.8064264
m3-31,45.2175779,5.8065726
m3-32,45.2175798,5.8064123
m3-33,45.2175947,5.8066229
m3-34,45.2175958,5.8065565
m3-35,45.2176117,5.8063862
m3-36,45.2176133,5.8065404
m3-37,45.2176152,5.8066074
m3-38,45.2176261,5.8063714
m3-39,45.2176301,5.8065276
m3-40,45.2176345,5.8065926
m3-41,45.2176376,5.8067556
m3-42,45.2176441,5.8063553
m3-43,45.2176521,5.8065759
m3-44,45.2176528,5.8067415
m3-45,45.2176627,5.8064968
m3-46,45.2176643,5.8063398
m3-47,45.2176712,5.8067281
m3-48,45.2176794,5.8064787
m3-49,45.2176809,5.8063238
m3-50,45.2176835,5.8065498
m3-51,45.2176946,5.8064632
m3-52,45.2177012,5.8063037
m3-53,45.2177019,5.8065350
m3-54,45.2177120,5.8064492
m3-55,45.2177172,5.8065209
m3-56,45.2177208,5.8062855
m3-57,45.2177285,5.8064351
m3-58,45.2177347,5.8065062
m3-59,45.2177401,5.8062688
m3-60,45.2177512,5.8064908
m3-61,45.2177537,5.8064163
m3-62,45.2177562,5.8062533
m3-63,45.2177735,5.8062386
