node,latitude,longitude
m3-1,50.6052675,3.1479590
m3-2,50.6052803,3.1479875
m3-3,50.6052947,3.1480143
m3-4,50.6051917,3.1480392
m3-5,50.6053094,3.1480438
m3-6,50.6053210,3.1480673
m3-7,50.6055399,3.1480720
m3-8,50.6052058,3.1480727
m3-9,50.6053320,3.1480948
m3-10,50.6051403,3.1481005
m3-11,50.6052190,3.1481012
m3-12,50.6055577,3.1481096
m3-13,50.6054257,3.1481182
m3-14,50.6053440,3.1481230
m3-15,50.6052326,3.1481310
m3-16,50.6051547,3.1481317
m3-17,50.6055739,3.1481458
m3-18,50.6054378,3.1481458
m3-19,50.6053577,3.1481525
m3-20,50.6052448,3.1481582
m3-21,50.6051673,3.1481622
m3-22,50.6055867,3.1481739
m3-23,50.6053696,3.1481793
m3-24,50.6052567,3.1481857
m3-25,50.6051827,3.1481887
m3-26,50.6050612,3.1481912
m3-27,50.6056003,3.1482021
m3-28,50.6053818,3.1482068
m3-29,50.6052702,3.1482132
m3-30,50.6051958,3.1482162
m3-31,50.6050743,3.1482185
m3-32,50.6053960,3.1482330
m3-33,50.6052827,3.1482417
m3-34,50.6052064,3.1482423
m3-35,50.6050900,3.1482462
m3-36,50.6052941,3.1482678
m3-37,50.6052180,3.1482685
m3-38,50.6051032,3.1482772
m3-39,50.6055092,3.1482866
m3-40,50.6053083,3.1482933
m3-41,50.6052305,3.1482967
m3-42,50.6051170,3.1483020
m3-43,50.6055211,3.1483135
m3-44,50.6053205,3.1483185
m3-45,50.6052416,3.1483238
m3-46,50.6051292,3.1483302
m3-47,50.6055313,3.1483416
m3-48,50.6054564,3.1483469
m3-49,50.6052548,3.1483520
m3-50,50.6051424,3.1483574
m3-51,50.6055450,3.1483697
m3-52,50.6054658,3.1483738
m3-53,50.6052662,3.1483792
m3-54,50.6051549,3.1483845
m3-55,50.6055569,3.1483979
m3-56,50.6054786,3.1484046
m3-57,50.6051685,3.1484124
m3-58,50.6055713,3.1484301
m3-59,50.6054913,3.1484314
m3-60,50.6053773,3.1484368
m3-61,50.6051804,3.1484392
m3-62,50.6055824,3.1484556
m3-63,50.6055041,3.1484623
m3-64,50.6053909,3.1484650
m3-65,50.6051937,3.1484673
m3-66,50.6055935,3.1484811
m3-67,50.6055168,3.1484891
m3-68,50.6054028,3.1484931
m3-69,50.6053279,3.1484945
m3-70,50.6056071,3.1485132
m3-71,50.6055279,3.1485173
m3-72,50.6053386,3.1485210
m3-73,50.6054173,3.1485240
m3-74,50.6056182,3.1485414
m3-75,50.6055407,3.1485441
m3-76,50.6054275,3.1485521
m3-77,50.6053516,3.1485551
m3-78,50.6056317,3.1485683
m3-79,50.6055526,3.1485722
m3-80,50.6053629,3.1485783
m3-81,50.6054428,3.1485803
m3-82,50.6052471,3.1485803
m3-83,50.6055671,3.1485990
m3-84,50.6054519,3.1486051
m3-85,50.6053741,3.1486058
m3-86,50.6052598,3.1486111
m3-87,50.6055782,3.1486273
m3-88,50.6054632,3.1486313
m3-89,50.6053850,3.1486333
m3-90,50.6052716,3.1486366
m3-91,50.6054777,3.1486581
m3-92,50.6053971,3.1486594
m3-93,50.6052845,3.1486638
m3-94,50.6054103,3.1486852
m3-95,50.6054892,3.1486859
